净值日期,单位净值
2019-09-24 16:00:00,1.2073
2019-09-25 16:00:00,1.2103
2019-09-26 16:00:00,1.1982
2019-09-29 16:00:00,1.1954
2019-10-07 16:00:00,1.1829
2019-10-08 16:00:00,1.187
2019-10-09 16:00:00,1.1987
2019-10-10 16:00:00,1.2202
2019-10-13 16:00:00,1.2168
2019-10-14 16:00:00,1.2263
2019-10-15 16:00:00,1.2246
2019-10-16 16:00:00,1.2337
2019-10-17 16:00:00,1.225
2019-10-20 16:00:00,1.2371
2019-10-21 16:00:00,1.2268
2019-10-22 16:00:00,1.2206
2019-10-23 16:00:00,1.2349
2019-10-24 16:00:00,1.2473
2019-10-27 16:00:00,1.2673
2019-10-28 16:00:00,1.2553
2019-10-29 16:00:00,1.259
2019-10-30 16:00:00,1.2623
2019-10-31 16:00:00,1.2763
2019-11-03 16:00:00,1.2953
2019-11-04 16:00:00,1.2932
2019-11-05 16:00:00,1.283
2019-11-06 16:00:00,1.286
2019-11-07 16:00:00,1.2838
2019-11-10 16:00:00,1.2669
2019-11-11 16:00:00,1.2761
2019-11-12 16:00:00,1.2732
2019-11-13 16:00:00,1.2783
2019-11-14 16:00:00,1.2835
2019-11-17 16:00:00,1.2887
2019-11-18 16:00:00,1.2974
2019-11-19 16:00:00,1.2831
2019-11-20 16:00:00,1.2729
2019-11-21 16:00:00,1.2796
2019-11-24 16:00:00,1.2938
2019-11-25 16:00:00,1.2962
2019-11-26 16:00:00,1.303
2019-11-27 16:00:00,1.302
2019-11-28 16:00:00,1.2907
2019-12-01 16:00:00,1.2909
2019-12-02 16:00:00,1.2867
2019-12-03 16:00:00,1.2863
2019-12-04 16:00:00,1.3056
2019-12-05 16:00:00,1.3183
2019-12-08 16:00:00,1.3107
2019-12-09 16:00:00,1.3127
2019-12-10 16:00:00,1.3245
2019-12-11 16:00:00,1.3359
2019-12-12 16:00:00,1.3368
2019-12-15 16:00:00,1.3408
2019-12-16 16:00:00,1.3439
