净值日期,单位净值
2019-09-24 16:00:00,1.6503
2019-09-25 16:00:00,1.651
2019-09-26 16:00:00,1.6308
2019-09-29 16:00:00,1.6464
2019-10-07 16:00:00,1.6119
2019-10-08 16:00:00,1.6342
2019-10-09 16:00:00,1.644
2019-10-10 16:00:00,1.6671
2019-10-13 16:00:00,1.6653
2019-10-14 16:00:00,1.6822
2019-10-15 16:00:00,1.6718
2019-10-16 16:00:00,1.669
2019-10-17 16:00:00,1.6524
2019-10-20 16:00:00,1.6686
2019-10-21 16:00:00,1.6467
2019-10-22 16:00:00,1.6505
2019-10-23 16:00:00,1.673
2019-10-24 16:00:00,1.6923
2019-10-27 16:00:00,1.7127
2019-10-28 16:00:00,1.6944
2019-10-29 16:00:00,1.7035
2019-10-30 16:00:00,1.7004
2019-10-31 16:00:00,1.7179
2019-11-03 16:00:00,1.7254
2019-11-04 16:00:00,1.7231
2019-11-05 16:00:00,1.716
2019-11-06 16:00:00,1.7262
2019-11-07 16:00:00,1.7343
2019-11-10 16:00:00,1.7348
2019-11-11 16:00:00,1.7407
2019-11-12 16:00:00,1.7457
2019-11-13 16:00:00,1.745
2019-11-14 16:00:00,1.7589
2019-11-17 16:00:00,1.7615
2019-11-18 16:00:00,1.7652
2019-11-19 16:00:00,1.7562
2019-11-20 16:00:00,1.7507
2019-11-21 16:00:00,1.7507
2019-11-24 16:00:00,1.7763
2019-11-25 16:00:00,1.7761
2019-11-26 16:00:00,1.7857
2019-11-27 16:00:00,1.7838
2019-11-28 16:00:00,1.7787
2019-12-01 16:00:00,1.7547
2019-12-02 16:00:00,1.7396
2019-12-03 16:00:00,1.7493
2019-12-04 16:00:00,1.759
2019-12-05 16:00:00,1.7741
2019-12-08 16:00:00,1.7664
2019-12-09 16:00:00,1.7664
2019-12-10 16:00:00,1.7778
2019-12-11 16:00:00,1.7929
2019-12-12 16:00:00,1.8013
2019-12-15 16:00:00,1.81
2019-12-16 16:00:00,1.8084
2019-12-17 16:00:00,1.8072
2019-12-18 16:00:00,1.8205
2019-12-19 16:00:00,1.8303
2019-12-22 16:00:00,1.8378
2019-12-23 16:00:00,1.8383
2019-12-24 16:00:00,1.837
2019-12-25 16:00:00,1.8425
2019-12-26 16:00:00,1.8447
2019-12-29 16:00:00,1.8326
2019-12-30 16:00:00,1.8375
2020-01-01 16:00:00,1.8636
2020-01-02 16:00:00,1.8466
2020-01-05 16:00:00,1.8522
2020-01-06 16:00:00,1.8497
2020-01-07 16:00:00,1.8619
2020-01-08 16:00:00,1.8831
2020-01-09 16:00:00,1.8759
2020-01-12 16:00:00,1.8971
2020-01-13 16:00:00,1.8787
2020-01-14 16:00:00,1.8771
2020-01-15 16:00:00,1.9006
2020-01-16 16:00:00,1.9153
2020-01-19 16:00:00,1.9095
2020-01-20 16:00:00,1.9062
2020-01-21 16:00:00,1.9186
2020-01-22 16:00:00,1.9279
2020-02-02 16:00:00,1.9119
2020-02-03 16:00:00,1.9736
2020-02-04 16:00:00,1.9855
2020-02-05 16:00:00,2.0068
2020-02-06 16:00:00,1.9844
2020-02-09 16:00:00,2.011
2020-02-10 16:00:00,2.0056
2020-02-11 16:00:00,2.0214
2020-02-12 16:00:00,2.0176
2020-02-13 16:00:00,2.0275
2020-02-16 16:00:00,2.026
2020-02-17 16:00:00,2.0203
2020-02-18 16:00:00,2.0456
2020-02-19 16:00:00,2.0257
2020-02-20 16:00:00,1.9859
2020-02-23 16:00:00,1.9055
2020-02-24 16:00:00,1.8447
2020-02-25 16:00:00,1.8492
2020-02-26 16:00:00,1.7503
2020-02-27 16:00:00,1.7605
2020-03-01 16:00:00,1.8554
2020-03-02 16:00:00,1.7809
2020-03-03 16:00:00,1.8419
2020-03-04 16:00:00,1.7847
2020-03-05 16:00:00,1.7482
2020-03-08 16:00:00,1.6209
2020-03-09 16:00:00,1.7214
2020-03-10 16:00:00,1.6474
2020-03-11 16:00:00,1.4894
2020-03-12 16:00:00,1.6746
2020-03-15 16:00:00,1.448
2020-03-16 16:00:00,1.5434
2020-03-17 16:00:00,1.4803
2020-03-18 16:00:00,1.5001
2020-03-19 16:00:00,1.4475
2020-03-22 16:00:00,1.4313
2020-03-23 16:00:00,1.5728
2020-03-24 16:00:00,1.5624
2020-03-25 16:00:00,1.655
2020-03-26 16:00:00,1.5773
2020-03-29 16:00:00,1.6408
2020-03-30 16:00:00,1.6211
2020-03-31 16:00:00,1.5478
2020-04-01 16:00:00,1.587
2020-04-02 16:00:00,1.5643
2020-04-06 16:00:00,1.6737
2020-04-07 16:00:00,1.707
2020-04-08 16:00:00,1.7087
2020-04-09 16:00:00,1.7045
2020-04-12 16:00:00,1.7071
2020-04-13 16:00:00,1.7773
2020-04-14 16:00:00,1.7413
2020-04-15 16:00:00,1.7693
2020-04-16 16:00:00,1.792
2020-04-19 16:00:00,1.76
2020-04-20 16:00:00,1.6934
2020-04-21 16:00:00,1.7588
2020-04-22 16:00:00,1.7469
2020-04-23 16:00:00,1.78
2020-04-26 16:00:00,1.7928
2020-04-27 16:00:00,1.7688
2020-04-28 16:00:00,1.8398
2020-04-29 16:00:00,1.8284
2020-05-05 16:00:00,1.8413
2020-05-06 16:00:00,1.8745
2020-05-07 16:00:00,1.8964
2020-05-10 16:00:00,1.9079
2020-05-11 16:00:00,1.8728
2020-05-12 16:00:00,1.8417
2020-05-13 16:00:00,1.8655
2020-05-14 16:00:00,1.8727
2020-05-17 16:00:00,1.9206
2020-05-18 16:00:00,1.91
2020-05-19 16:00:00,1.9507
2020-05-20 16:00:00,1.9224
2020-05-21 16:00:00,1.9319
2020-05-24 16:00:00,1.9391
2020-05-25 16:00:00,1.9391
2020-05-26 16:00:00,1.9437
2020-05-27 16:00:00,1.9452
2020-05-28 16:00:00,1.968
2020-05-31 16:00:00,1.9683
2020-06-01 16:00:00,1.9817
