净值日期,单位净值
2019-09-24 16:00:00,1.1638
2019-09-25 16:00:00,1.1541
2019-09-26 16:00:00,1.1564
2019-09-29 16:00:00,1.145
2019-10-07 16:00:00,1.1587
2019-10-08 16:00:00,1.1628
2019-10-09 16:00:00,1.1668
2019-10-10 16:00:00,1.1828
2019-10-13 16:00:00,1.1953
2019-10-14 16:00:00,1.1821
2019-10-15 16:00:00,1.1833
2019-10-16 16:00:00,1.1829
2019-10-17 16:00:00,1.1656
2019-10-20 16:00:00,1.1697
2019-10-21 16:00:00,1.1739
2019-10-22 16:00:00,1.1681
2019-10-23 16:00:00,1.1689
2019-10-24 16:00:00,1.1661
2019-10-27 16:00:00,1.1742
2019-10-28 16:00:00,1.1623
2019-10-29 16:00:00,1.1572
2019-10-30 16:00:00,1.1543
2019-10-31 16:00:00,1.1724
2019-11-03 16:00:00,1.1834
2019-11-04 16:00:00,1.1916
2019-11-05 16:00:00,1.186
2019-11-06 16:00:00,1.1891
2019-11-07 16:00:00,1.1794
2019-11-10 16:00:00,1.1529
2019-11-11 16:00:00,1.151
2019-11-12 16:00:00,1.1479
2019-11-13 16:00:00,1.1515
2019-11-14 16:00:00,1.1434
2019-11-17 16:00:00,1.1556
2019-11-18 16:00:00,1.1716
2019-11-19 16:00:00,1.1631
2019-11-20 16:00:00,1.1571
2019-11-21 16:00:00,1.1523
2019-11-24 16:00:00,1.1673
2019-11-25 16:00:00,1.1672
2019-11-26 16:00:00,1.1597
2019-11-27 16:00:00,1.1579
2019-11-28 16:00:00,1.1518
2019-12-01 16:00:00,1.1573
2019-12-02 16:00:00,1.1631
2019-12-03 16:00:00,1.1595
2019-12-04 16:00:00,1.1729
2019-12-05 16:00:00,1.1806
2019-12-08 16:00:00,1.1795
2019-12-09 16:00:00,1.1852
2019-12-10 16:00:00,1.1839
2019-12-11 16:00:00,1.1839
2019-12-12 16:00:00,1.2049
2019-12-15 16:00:00,1.2148
2019-12-16 16:00:00,1.2293
2019-12-17 16:00:00,1.2287
2019-12-18 16:00:00,1.2291
2019-12-19 16:00:00,1.2267
2019-12-22 16:00:00,1.2115
2019-12-23 16:00:00,1.2237
2019-12-24 16:00:00,1.2293
2019-12-25 16:00:00,1.2358
2019-12-26 16:00:00,1.2362
2019-12-29 16:00:00,1.2532
2019-12-30 16:00:00,1.2535
2020-01-01 16:00:00,1.2742
2020-01-02 16:00:00,1.2833
2020-01-05 16:00:00,1.2812
2020-01-06 16:00:00,1.2896
2020-01-07 16:00:00,1.2736
2020-01-08 16:00:00,1.2847
2020-01-09 16:00:00,1.2757
2020-01-12 16:00:00,1.2895
2020-01-13 16:00:00,1.2848
2020-01-14 16:00:00,1.2766
2020-01-15 16:00:00,1.2742
2020-01-16 16:00:00,1.2811
2020-01-19 16:00:00,1.2835
2020-01-20 16:00:00,1.2633
2020-01-21 16:00:00,1.2723
2020-01-22 16:00:00,1.2395
2020-02-02 16:00:00,1.1557
2020-02-03 16:00:00,1.1971
2020-02-04 16:00:00,1.2063
2020-02-05 16:00:00,1.2328
2020-02-06 16:00:00,1.2429
2020-02-09 16:00:00,1.2615
2020-02-10 16:00:00,1.2616
2020-02-11 16:00:00,1.2626
2020-02-12 16:00:00,1.2762
2020-02-13 16:00:00,1.2875
2020-02-16 16:00:00,1.3045
2020-02-17 16:00:00,1.2902
2020-02-18 16:00:00,1.288
2020-02-19 16:00:00,1.2986
2020-02-20 16:00:00,1.2889
2020-02-23 16:00:00,1.2738
2020-02-24 16:00:00,1.2631
2020-02-25 16:00:00,1.2688
2020-02-26 16:00:00,1.2675
2020-02-27 16:00:00,1.2333
2020-03-01 16:00:00,1.2684
2020-03-02 16:00:00,1.2687
2020-03-03 16:00:00,1.2814
2020-03-04 16:00:00,1.3045
2020-03-05 16:00:00,1.2891
2020-03-08 16:00:00,1.2552
2020-03-09 16:00:00,1.2652
2020-03-10 16:00:00,1.2565
2020-03-11 16:00:00,1.2425
2020-03-12 16:00:00,1.2289
2020-03-15 16:00:00,1.1917
2020-03-16 16:00:00,1.1898
2020-03-17 16:00:00,1.1643
2020-03-18 16:00:00,1.1297
2020-03-19 16:00:00,1.1506
2020-03-22 16:00:00,1.1096
2020-03-23 16:00:00,1.1392
2020-03-24 16:00:00,1.1702
2020-03-25 16:00:00,1.174
2020-03-26 16:00:00,1.187
2020-03-29 16:00:00,1.1802
2020-03-30 16:00:00,1.1683
2020-03-31 16:00:00,1.1638
2020-04-01 16:00:00,1.1742
2020-04-02 16:00:00,1.1684
2020-04-06 16:00:00,1.1821
2020-04-07 16:00:00,1.1762
2020-04-08 16:00:00,1.177
2020-04-09 16:00:00,1.1812
2020-04-12 16:00:00,1.1714
2020-04-13 16:00:00,1.186
2020-04-14 16:00:00,1.1775
2020-04-15 16:00:00,1.1774
2020-04-16 16:00:00,1.186
2020-04-19 16:00:00,1.1821
2020-04-20 16:00:00,1.1668
2020-04-21 16:00:00,1.1686
2020-04-22 16:00:00,1.165
2020-04-23 16:00:00,1.1556
2020-04-26 16:00:00,1.1684
2020-04-27 16:00:00,1.178
2020-04-28 16:00:00,1.208
2020-04-29 16:00:00,1.2106
2020-05-05 16:00:00,1.197
2020-05-06 16:00:00,1.1905
2020-05-07 16:00:00,1.2081
2020-05-10 16:00:00,1.211
2020-05-11 16:00:00,1.2023
2020-05-12 16:00:00,1.2034
2020-05-13 16:00:00,1.19
2020-05-14 16:00:00,1.1888
2020-05-17 16:00:00,1.1956
2020-05-18 16:00:00,1.2003
2020-05-19 16:00:00,1.1967
2020-05-20 16:00:00,1.1915
2020-05-21 16:00:00,1.171
2020-05-24 16:00:00,1.1802
2020-05-25 16:00:00,1.185
2020-05-26 16:00:00,1.1919
2020-05-27 16:00:00,1.2042
2020-05-28 16:00:00,1.1978
2020-05-31 16:00:00,1.2166
2020-06-01 16:00:00,1.2344
2020-06-02 16:00:00,1.2344
2020-06-03 16:00:00,1.2282
2020-06-04 16:00:00,1.2243
2020-06-07 16:00:00,1.2331
2020-06-08 16:00:00,1.2367
2020-06-09 16:00:00,1.2225
2020-06-10 16:00:00,1.21
2020-06-11 16:00:00,1.2109
2020-06-14 16:00:00,1.1971
2020-06-15 16:00:00,1.2086
2020-06-16 16:00:00,1.2079
2020-06-17 16:00:00,1.2156
2020-06-18 16:00:00,1.2157
2020-06-21 16:00:00,1.2043
2020-06-22 16:00:00,1.2009
2020-06-23 16:00:00,1.2124
2020-06-28 16:00:00,1.2041
2020-06-29 16:00:00,1.2174
2020-06-30 16:00:00,1.2383
2020-07-01 16:00:00,1.2537
2020-07-02 16:00:00,1.2656
2020-07-05 16:00:00,1.3285
2020-07-06 16:00:00,1.3391
2020-07-07 16:00:00,1.3612
2020-07-08 16:00:00,1.3815
2020-07-09 16:00:00,1.3788
2020-07-12 16:00:00,1.3988
2020-07-13 16:00:00,1.3844
2020-07-14 16:00:00,1.3689
2020-07-15 16:00:00,1.3325
2020-07-16 16:00:00,1.3405
2020-07-19 16:00:00,1.3934
2020-07-20 16:00:00,1.4057
2020-07-21 16:00:00,1.4101
2020-07-22 16:00:00,1.4158
2020-07-23 16:00:00,1.368
2020-07-26 16:00:00,1.3724
2020-07-27 16:00:00,1.3789
2020-07-28 16:00:00,1.408
2020-07-29 16:00:00,1.4135
2020-07-30 16:00:00,1.4194
2020-08-02 16:00:00,1.4542
2020-08-03 16:00:00,1.4575
2020-08-04 16:00:00,1.4457
2020-08-05 16:00:00,1.4383
2020-08-06 16:00:00,1.4235
2020-08-09 16:00:00,1.4474
2020-08-10 16:00:00,1.439
2020-08-11 16:00:00,1.4409
2020-08-12 16:00:00,1.4501
2020-08-13 16:00:00,1.4636
2020-08-16 16:00:00,1.4896
2020-08-17 16:00:00,1.4884
2020-08-18 16:00:00,1.4727
2020-08-19 16:00:00,1.4567
2020-08-20 16:00:00,1.4628
2020-08-23 16:00:00,1.469
2020-08-24 16:00:00,1.4556
2020-08-25 16:00:00,1.4395
2020-08-26 16:00:00,1.4422
2020-08-27 16:00:00,1.4828
2020-08-30 16:00:00,1.4836
2020-08-31 16:00:00,1.4796
2020-09-01 16:00:00,1.4809
2020-09-02 16:00:00,1.4969
2020-09-03 16:00:00,1.5158
2020-09-06 16:00:00,1.5046
2020-09-07 16:00:00,1.5034
2020-09-08 16:00:00,1.4997
2020-09-09 16:00:00,1.4974
2020-09-10 16:00:00,1.5107
2020-09-13 16:00:00,1.523
2020-09-14 16:00:00,1.5315
2020-09-15 16:00:00,1.5484
2020-09-16 16:00:00,1.5609
2020-09-17 16:00:00,1.5867
2020-09-20 16:00:00,1.6119
2020-09-21 16:00:00,1.5967
2020-09-22 16:00:00,1.5989
2020-09-23 16:00:00,1.5761
2020-09-24 16:00:00,1.5822
2020-09-27 16:00:00,1.5837
2020-09-28 16:00:00,1.5843
2020-09-29 16:00:00,1.5832
2020-10-08 16:00:00,1.5956
2020-10-11 16:00:00,1.6184
2020-10-12 16:00:00,1.6215
2020-10-13 16:00:00,1.6221
2020-10-14 16:00:00,1.625
2020-10-15 16:00:00,1.6326
2020-10-18 16:00:00,1.6237
2020-10-19 16:00:00,1.6332
2020-10-20 16:00:00,1.6298
2020-10-21 16:00:00,1.6169
2020-10-22 16:00:00,1.6165
2020-10-25 16:00:00,1.6055
2020-10-26 16:00:00,1.6041
2020-10-27 16:00:00,1.6077
2020-10-28 16:00:00,1.5981
2020-10-29 16:00:00,1.5811
2020-11-01 16:00:00,1.5906
2020-11-02 16:00:00,1.6057
2020-11-03 16:00:00,1.617
2020-11-04 16:00:00,1.6528
2020-11-05 16:00:00,1.6526
2020-11-08 16:00:00,1.6806
2020-11-09 16:00:00,1.6726
2020-11-10 16:00:00,1.6611
2020-11-11 16:00:00,1.6548
2020-11-12 16:00:00,1.6422
2020-11-15 16:00:00,1.6581
2020-11-16 16:00:00,1.6622
2020-11-17 16:00:00,1.6673
2020-11-18 16:00:00,1.6763
2020-11-19 16:00:00,1.6884
2020-11-22 16:00:00,1.6943
2020-11-23 16:00:00,1.69
2020-11-24 16:00:00,1.6876
2020-11-25 16:00:00,1.6936
2020-11-26 16:00:00,1.707
2020-11-29 16:00:00,1.6964
2020-11-30 16:00:00,1.736
2020-12-01 16:00:00,1.7316
2020-12-02 16:00:00,1.7248
2020-12-03 16:00:00,1.7213
2020-12-06 16:00:00,1.7048
2020-12-07 16:00:00,1.6998
2020-12-08 16:00:00,1.6697
2020-12-09 16:00:00,1.6689
2020-12-10 16:00:00,1.6499
2020-12-13 16:00:00,1.6649
2020-12-14 16:00:00,1.6628
2020-12-15 16:00:00,1.6692
2020-12-16 16:00:00,1.6836
2020-12-17 16:00:00,1.6777
2020-12-20 16:00:00,1.6823
2020-12-21 16:00:00,1.6358
2020-12-22 16:00:00,1.6627
2020-12-23 16:00:00,1.6533
2020-12-24 16:00:00,1.6639
2020-12-27 16:00:00,1.6599
2020-12-28 16:00:00,1.6355
2020-12-29 16:00:00,1.649
2020-12-30 16:00:00,1.6744
2021-01-03 16:00:00,1.6844
2021-01-04 16:00:00,1.6736
2021-01-05 16:00:00,1.6729
2021-01-06 16:00:00,1.6722
2021-01-07 16:00:00,1.6839
2021-01-10 16:00:00,1.6775
2021-01-11 16:00:00,1.7018
2021-01-12 16:00:00,1.7051
2021-01-13 16:00:00,1.6864
2021-01-14 16:00:00,1.7034
2021-01-17 16:00:00,1.7179
2021-01-18 16:00:00,1.7002
2021-01-19 16:00:00,1.6916
2021-01-20 16:00:00,1.7094
2021-01-21 16:00:00,1.6951
2021-01-24 16:00:00,1.6994
2021-01-25 16:00:00,1.675
2021-01-26 16:00:00,1.6904
