净值日期,单位净值
2019-09-24 16:00:00,3.4822
2019-09-25 16:00:00,3.4334
2019-09-26 16:00:00,3.4139
2019-09-29 16:00:00,3.4057
2019-10-07 16:00:00,3.4007
2019-10-08 16:00:00,3.4443
2019-10-09 16:00:00,3.4246
2019-10-10 16:00:00,3.4063
2019-10-13 16:00:00,3.3596
2019-10-14 16:00:00,3.372
2019-10-15 16:00:00,3.3625
2019-10-16 16:00:00,3.3756
2019-10-17 16:00:00,3.3647
2019-10-20 16:00:00,3.3685
2019-10-21 16:00:00,3.3623
2019-10-22 16:00:00,3.3666
2019-10-23 16:00:00,3.3603
2019-10-24 16:00:00,3.3979
2019-10-27 16:00:00,3.3963
2019-10-28 16:00:00,3.3668
2019-10-29 16:00:00,3.3582
2019-10-30 16:00:00,3.3631
2019-10-31 16:00:00,3.3924
2019-11-03 16:00:00,3.3849
2019-11-04 16:00:00,3.3696
2019-11-05 16:00:00,3.3209
2019-11-06 16:00:00,3.3195
2019-11-07 16:00:00,3.2748
2019-11-10 16:00:00,3.27
2019-11-11 16:00:00,3.2393
2019-11-12 16:00:00,3.2696
2019-11-13 16:00:00,3.2803
2019-11-14 16:00:00,3.2717
2019-11-17 16:00:00,3.2686
2019-11-18 16:00:00,3.285
2019-11-19 16:00:00,3.2962
2019-11-20 16:00:00,3.2945
2019-11-21 16:00:00,3.2984
2019-11-24 16:00:00,3.2688
2019-11-25 16:00:00,3.2685
2019-11-26 16:00:00,3.2745
2019-11-27 16:00:00,3.2657
2019-11-28 16:00:00,3.2762
2019-12-01 16:00:00,3.2726
2019-12-02 16:00:00,3.289
2019-12-03 16:00:00,3.3502
2019-12-04 16:00:00,3.3236
2019-12-05 16:00:00,3.305
2019-12-08 16:00:00,3.2823
2019-12-09 16:00:00,3.2928
2019-12-10 16:00:00,3.2859
2019-12-11 16:00:00,3.3055
2019-12-12 16:00:00,3.2762
2019-12-15 16:00:00,3.3001
2019-12-16 16:00:00,3.2958
2019-12-17 16:00:00,3.3011
2019-12-18 16:00:00,3.294
2019-12-19 16:00:00,3.3071
2019-12-22 16:00:00,3.3189
