净值日期,单位净值
2019-09-24 16:00:00,1.3466
2019-09-25 16:00:00,1.3301
2019-09-26 16:00:00,1.3325
2019-09-29 16:00:00,1.3138
2019-10-07 16:00:00,1.3171
2019-10-08 16:00:00,1.3202
2019-10-09 16:00:00,1.346
2019-10-10 16:00:00,1.3512
2019-10-13 16:00:00,1.37
2019-10-14 16:00:00,1.3559
2019-10-15 16:00:00,1.351
2019-10-16 16:00:00,1.3494
2019-10-17 16:00:00,1.3302
2019-10-20 16:00:00,1.3299
2019-10-21 16:00:00,1.3453
2019-10-22 16:00:00,1.3269
2019-10-23 16:00:00,1.3218
2019-10-24 16:00:00,1.3268
2019-10-27 16:00:00,1.3399
2019-10-28 16:00:00,1.3185
2019-10-29 16:00:00,1.3135
2019-10-30 16:00:00,1.306
2019-10-31 16:00:00,1.3182
2019-11-03 16:00:00,1.3484
2019-11-04 16:00:00,1.3588
2019-11-05 16:00:00,1.355
2019-11-06 16:00:00,1.3572
2019-11-07 16:00:00,1.3526
2019-11-10 16:00:00,1.3138
2019-11-11 16:00:00,1.3187
2019-11-12 16:00:00,1.3113
2019-11-13 16:00:00,1.3163
2019-11-14 16:00:00,1.3116
2019-11-17 16:00:00,1.3215
2019-11-18 16:00:00,1.3333
2019-11-19 16:00:00,1.3272
2019-11-20 16:00:00,1.3252
2019-11-21 16:00:00,1.3069
2019-11-24 16:00:00,1.3142
2019-11-25 16:00:00,1.2986
2019-11-26 16:00:00,1.2987
2019-11-27 16:00:00,1.3012
2019-11-28 16:00:00,1.2988
2019-12-01 16:00:00,1.2991
2019-12-02 16:00:00,1.3062
2019-12-03 16:00:00,1.3048
2019-12-04 16:00:00,1.3226
2019-12-05 16:00:00,1.3338
2019-12-08 16:00:00,1.3337
2019-12-09 16:00:00,1.3478
2019-12-10 16:00:00,1.3435
2019-12-11 16:00:00,1.34
2019-12-12 16:00:00,1.3634
2019-12-15 16:00:00,1.3896
2019-12-16 16:00:00,1.4107
2019-12-17 16:00:00,1.4084
2019-12-18 16:00:00,1.407
2019-12-19 16:00:00,1.4029
2019-12-22 16:00:00,1.3767
2019-12-23 16:00:00,1.3872
2019-12-24 16:00:00,1.3878
2019-12-25 16:00:00,1.4068
2019-12-26 16:00:00,1.4037
2019-12-29 16:00:00,1.4226
2019-12-30 16:00:00,1.4231
2020-01-01 16:00:00,1.4482
2020-01-02 16:00:00,1.4411
2020-01-05 16:00:00,1.4472
2020-01-06 16:00:00,1.4755
2020-01-07 16:00:00,1.4541
2020-01-08 16:00:00,1.4747
2020-01-09 16:00:00,1.4721
2020-01-12 16:00:00,1.4866
2020-01-13 16:00:00,1.4813
2020-01-14 16:00:00,1.4748
2020-01-15 16:00:00,1.4707
2020-01-16 16:00:00,1.4681
2020-01-19 16:00:00,1.4905
2020-01-20 16:00:00,1.4614
2020-01-21 16:00:00,1.4773
2020-01-22 16:00:00,1.4284
2020-02-02 16:00:00,1.3309
2020-02-03 16:00:00,1.3515
2020-02-04 16:00:00,1.3759
2020-02-05 16:00:00,1.41
2020-02-06 16:00:00,1.4149
2020-02-09 16:00:00,1.4367
2020-02-10 16:00:00,1.4434
2020-02-11 16:00:00,1.479
2020-02-12 16:00:00,1.4852
2020-02-13 16:00:00,1.4814
2020-02-16 16:00:00,1.5292
2020-02-17 16:00:00,1.5541
2020-02-18 16:00:00,1.5366
2020-02-19 16:00:00,1.5713
2020-02-20 16:00:00,1.5926
2020-02-23 16:00:00,1.6078
2020-02-24 16:00:00,1.6129
