净值日期,单位净值
2019-09-24 16:00:00,0.964
2019-09-25 16:00:00,0.958
2019-09-26 16:00:00,0.963
2019-09-29 16:00:00,0.955
2019-10-07 16:00:00,0.959
2019-10-08 16:00:00,0.959
2019-10-09 16:00:00,0.965
2019-10-10 16:00:00,0.969
2019-10-13 16:00:00,0.976
2019-10-14 16:00:00,0.97
2019-10-15 16:00:00,0.966
2019-10-16 16:00:00,0.967
2019-10-17 16:00:00,0.961
2019-10-20 16:00:00,0.963
2019-10-21 16:00:00,0.964
2019-10-22 16:00:00,0.962
2019-10-23 16:00:00,0.963
2019-10-24 16:00:00,0.967
2019-10-27 16:00:00,0.971
2019-10-28 16:00:00,0.969
2019-10-29 16:00:00,0.967
2019-10-30 16:00:00,0.962
2019-10-31 16:00:00,0.968
2019-11-03 16:00:00,0.973
2019-11-04 16:00:00,0.982
2019-11-05 16:00:00,0.983
2019-11-06 16:00:00,0.98
2019-11-07 16:00:00,0.975
2019-11-10 16:00:00,0.966
2019-11-11 16:00:00,0.965
2019-11-12 16:00:00,0.965
2019-11-13 16:00:00,0.968
2019-11-14 16:00:00,0.965
2019-11-17 16:00:00,0.965
2019-11-18 16:00:00,0.971
2019-11-19 16:00:00,0.965
2019-11-20 16:00:00,0.963
2019-11-21 16:00:00,0.958
2019-11-24 16:00:00,0.954
2019-11-25 16:00:00,0.954
2019-11-26 16:00:00,0.957
2019-11-27 16:00:00,0.957
2019-11-28 16:00:00,0.959
2019-12-01 16:00:00,0.962
2019-12-02 16:00:00,0.962
2019-12-03 16:00:00,0.962
2019-12-04 16:00:00,0.969
2019-12-05 16:00:00,0.975
2019-12-08 16:00:00,0.976
2019-12-09 16:00:00,0.983
2019-12-10 16:00:00,0.98
2019-12-11 16:00:00,0.981
2019-12-12 16:00:00,0.99
2019-12-15 16:00:00,1.008
2019-12-16 16:00:00,1.015
2019-12-17 16:00:00,1.016
2019-12-18 16:00:00,1.006
2019-12-19 16:00:00,0.999
2019-12-22 16:00:00,0.984
2019-12-23 16:00:00,0.996
2019-12-24 16:00:00,1.004
2019-12-25 16:00:00,1.005
2019-12-26 16:00:00,0.989
2019-12-29 16:00:00,1.001
2019-12-30 16:00:00,1.004
2020-01-01 16:00:00,1.024
2020-01-02 16:00:00,1.027
2020-01-05 16:00:00,1.034
2020-01-06 16:00:00,1.042
2020-01-07 16:00:00,1.028
2020-01-08 16:00:00,1.048
2020-01-09 16:00:00,1.053
2020-01-12 16:00:00,1.072
2020-01-13 16:00:00,1.071
2020-01-14 16:00:00,1.075
2020-01-15 16:00:00,1.079
2020-01-16 16:00:00,1.078
2020-01-19 16:00:00,1.103
2020-01-20 16:00:00,1.095
2020-01-21 16:00:00,1.12
2020-01-22 16:00:00,1.09
2020-02-02 16:00:00,1.01
2020-02-03 16:00:00,1.048
2020-02-04 16:00:00,1.062
2020-02-05 16:00:00,1.095
2020-02-06 16:00:00,1.105
2020-02-09 16:00:00,1.106
2020-02-10 16:00:00,1.114
2020-02-11 16:00:00,1.14
2020-02-12 16:00:00,1.138
2020-02-13 16:00:00,1.147
2020-02-16 16:00:00,1.18
2020-02-17 16:00:00,1.187
2020-02-18 16:00:00,1.161
2020-02-19 16:00:00,1.188
2020-02-20 16:00:00,1.208
2020-02-23 16:00:00,1.234
2020-02-24 16:00:00,1.247
2020-02-25 16:00:00,1.201
2020-02-26 16:00:00,1.2
2020-02-27 16:00:00,1.156
2020-03-01 16:00:00,1.183
2020-03-02 16:00:00,1.191
2020-03-03 16:00:00,1.174
2020-03-04 16:00:00,1.192
2020-03-05 16:00:00,1.181
2020-03-08 16:00:00,1.121
2020-03-09 16:00:00,1.159
2020-03-10 16:00:00,1.138
2020-03-11 16:00:00,1.121
2020-03-12 16:00:00,1.115
2020-03-15 16:00:00,1.051
2020-03-16 16:00:00,1.051
2020-03-17 16:00:00,1.038
2020-03-18 16:00:00,1.057
2020-03-19 16:00:00,1.068
2020-03-22 16:00:00,1.019
2020-03-23 16:00:00,1.026
2020-03-24 16:00:00,1.068
2020-03-25 16:00:00,1.056
2020-03-26 16:00:00,1.048
2020-03-29 16:00:00,1.033
2020-03-30 16:00:00,1.031
2020-03-31 16:00:00,1.034
2020-04-01 16:00:00,1.07
2020-04-02 16:00:00,1.059
2020-04-06 16:00:00,1.083
2020-04-07 16:00:00,1.085
2020-04-08 16:00:00,1.083
2020-04-09 16:00:00,1.062
2020-04-12 16:00:00,1.042
2020-04-13 16:00:00,1.068
2020-04-14 16:00:00,1.077
2020-04-15 16:00:00,1.088
2020-04-16 16:00:00,1.095
2020-04-19 16:00:00,1.103
2020-04-20 16:00:00,1.095
2020-04-21 16:00:00,1.1
